timestamp,symbol,obi,interpretacion
2026-04-17 05:21:03,BTCUSDT,OBI:-0.2725,VENTA
2026-04-17 05:21:03,ETHUSDT,OBI:0.9349,FUERTEMENTE_COMPRA
2026-04-17 05:21:04,SOLUSDT,OBI:-0.0334,NEUTRAL
2026-04-17 05:21:05,BNBUSDT,OBI:0.564,FUERTEMENTE_COMPRA
2026-04-17 05:26:05,BTCUSDT,OBI:0.0113,NEUTRAL
2026-04-17 05:26:05,ETHUSDT,OBI:0.4641,FUERTEMENTE_COMPRA
2026-04-17 05:26:05,SOLUSDT,OBI:-0.0922,NEUTRAL
2026-04-17 05:26:06,BNBUSDT,OBI:0.4284,FUERTEMENTE_COMPRA
2026-04-17 05:31:06,BTCUSDT,OBI:0.8632,FUERTEMENTE_COMPRA
2026-04-17 05:31:06,ETHUSDT,OBI:-0.5208,FUERTEMENTE_VENTA
2026-04-17 05:31:06,SOLUSDT,OBI:-0.0955,NEUTRAL
2026-04-17 05:31:07,BNBUSDT,OBI:-0.3012,FUERTEMENTE_VENTA
2026-04-17 05:36:07,BTCUSDT,OBI:-0.6394,FUERTEMENTE_VENTA
2026-04-17 05:36:07,ETHUSDT,OBI:-0.8698,FUERTEMENTE_VENTA
2026-04-17 05:36:08,SOLUSDT,OBI:0.0254,NEUTRAL
2026-04-17 05:36:08,BNBUSDT,OBI:0.1166,COMPRA
2026-04-17 05:41:08,BTCUSDT,OBI:0.6676,FUERTEMENTE_COMPRA
2026-04-17 05:41:08,ETHUSDT,OBI:0.4485,FUERTEMENTE_COMPRA
2026-04-17 05:41:09,SOLUSDT,OBI:0.348,FUERTEMENTE_COMPRA
2026-04-17 05:41:10,BNBUSDT,OBI:-0.1008,VENTA
2026-04-17 05:46:10,BTCUSDT,OBI:-0.2764,VENTA
2026-04-17 05:46:10,ETHUSDT,OBI:-0.9437,FUERTEMENTE_VENTA
